Konum raporu
Tüm zamanlar
Konum,Teklif ayarlaması,Tıklamalar,Göstr.,TO,Para birimi kodu,Ort. TBM,Maliyet,Dönş. oranı,Dönüşümler,Maliyet / dönüşüm
"35,0|km|(41,083333,28,816667)", +20%,5.323,102.129,"5,21%",TRY,"39,64","210984,08","26,19%","1.394,00","151,35"
,Toplam: Yer,5.323,102.129,"5,21%",TRY,"39,64","210984,08","26,19%","1.394,00","151,35"
,Toplam: Diğer konumlar,2.774,47.967,"5,78%",TRY,"49,55","137451,80","12,11%","336,00","409,08"
,Toplam: Kampanya,8.097,150.096,"5,39%",TRY,"43,03","348435,89","21,37%","1.730,00","201,41"
